date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:04	158027/158027	---M-Z	200	added ('OK')	text/html	etag:W/%2220045b3c952a68684fe774d8ebe8dd28%22	https://news.cgtn.com/news/2025-10-05/Yin/p.html	C:/My%20Web%20Sites/CGTN/news.cgtn.com/news/2025-10-05/Yin/p.html	(from )
19:27:05	11777/11777	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22c7fd401ac7cdc27928d3e16fd5dc7872%22	https://news.cgtn.com/robots.txt		(from )
19:27:05	4749879/4749879	---M--	200	added ('OK')	image/png	etag:%2230628001dc7dc0b75ddbec91cf1a8cee%22	https://news.cgtn.com/news/2025-10-05/Yin/img/124fe904143e4d6ca61e4348be3428ff/124fe904143e4d6ca61e4348be3428ff-1920.png?t=20251005084538031	C:/My%20Web%20Sites/CGTN/news.cgtn.com/news/2025-10-05/Yin/img/124fe904143e4d6ca61e4348be3428ff/124fe904143e4d6ca61e4348be3428ff-1920dae2.png	(from https://news.cgtn.com/news/2025-10-05/Yin/p.html)
19:27:05	1142/1142	---M--	200	added ('OK')	image/png	etag:%2253adcc8d48a0156f4b4364905ae0814d%22	https://news.cgtn.com/resource/default/img/icon.png	C:/My%20Web%20Sites/CGTN/news.cgtn.com/resource/default/img/icon.png	(from https://news.cgtn.com/news/2025-10-05/Yin/p.html)
19:27:06	120038/120038	---M-Z	200	added ('OK')	text/html	etag:W/%2293a2b4717fa6fdba92de8e0279055f59%22	https://news.cgtn.com/news/2025-10-05/Yin/share_amp.html	C:/My%20Web%20Sites/CGTN/news.cgtn.com/news/2025-10-05/Yin/share_amp.html	(from https://news.cgtn.com/news/2025-10-05/Yin/p.html)
19:27:06	4749879/4749879	---M--	200	added ('OK')	image/png	etag:%2230628001dc7dc0b75ddbec91cf1a8cee%22	https://news.cgtn.com/news/2025-10-05/Yin/img/124fe904143e4d6ca61e4348be3428ff/124fe904143e4d6ca61e4348be3428ff-1920.png	C:/My%20Web%20Sites/CGTN/news.cgtn.com/news/2025-10-05/Yin/img/124fe904143e4d6ca61e4348be3428ff/124fe904143e4d6ca61e4348be3428ff-1920.png	(from https://news.cgtn.com/news/2025-10-05/Yin/p.html)
19:27:06	41662/41662	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%224449e84b929a7e1e6537d53fe19dc9d7%22	https://www.cgtn.com/favicon.ico	C:/My%20Web%20Sites/CGTN/www.cgtn.com/favicon.ico	(from https://news.cgtn.com/news/2025-10-05/Yin/p.html)
19:27:07	61869/61869	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Oct%202025%2002:27:07%20GMT	https://www.facebook.com/ChinaGlobalTVNetwork	C:/My%20Web%20Sites/CGTN/www.facebook.com/ChinaGlobalTVNetwork.html	(from https://news.cgtn.com/news/2025-10-05/Yin/p.html)
19:27:07	1729/1729	---M-Z	200	added ('OK')	text/css	etag:W/%2213b1b6672b8cfb0d9ae7f899f1c42875%22	https://ui.cgtn.com/static/public/vendor/slick/slick.css	C:/My%20Web%20Sites/CGTN/ui.cgtn.com/static/public/vendor/slick/slick.css	(from https://news.cgtn.com/news/2025-10-05/Yin/p.html)
19:27:07	2423/2423	---M-Z	200	added ('OK')	text/css	etag:W/%221032cbfa28b99389756ec3346f265c5b%22	https://ui.cgtn.com/static/public/vendor/slick/slick-theme.css	C:/My%20Web%20Sites/CGTN/ui.cgtn.com/static/public/vendor/slick/slick-theme.css	(from https://news.cgtn.com/news/2025-10-05/Yin/p.html)
